"RBFOX1","RBFOX1.2","A2M","AAAS","ENUMERATION","LINEAR1","LINEAR2","LINEAR3","STEP_UP1","STEP_UP2","STEP_DOWN1","STEP_DOWN2","PARABOLA","EXP","SINEWAVE1","SINEWAVE2"
6.73130853331,11.0854877842,10.343821841,6.27247220898,1,4.729309,6.972539,10.971866,6.944935,7.072974,10.028712,11.240485,5.997669,6,7.983159,5.285551
6.4238226277,9.88507353558,11.231751635,7.59354388777,2,5.341495,7.049253,10.860229,6.934164,7.022243,10.068047,11.101105,6.007114,6.003065,8.241866,5.245514
6.03619287863,8.65316955008,12.140913279,7.74582632801,3,5.118547,6.992521,10.916467,6.956482,7.04714,10.12748,10.554987,6.026314,6.015584,8.134264,5.125054
6.91074334821,11.0531738656,10.288289534,6.8301250037,4,7.331449,7.091997,11.026339,7.028145,6.940713,9.879064,11.565489,6.035739,6.017349,8.179433,5.631416
6.65397356584,7.08531798977,11.9017569207,7.84217364195,5,5.090687,7.022522,10.970564,7.00591,7.055554,9.863626,11.299052,6.065788,5.983197,8.239221,5.170915
6.37654552146,9.42172956955,12.3946664599,6.84080058172,6,6.686659,7.003967,10.983866,6.912757,6.995448,10.074488,10.691875,6.087556,6.028116,7.923078,5.312005
6.71665151664,10.7806397279,10.5029932074,7.35480758229,7,4.936654,7.10222,10.962978,7.079108,7.009953,9.977662,11.953213,6.099373,5.988217,8.163705,5.477971
7.09930216999,10.7802118489,10.0235159363,6.73991659922,8,6.365119,7.049745,10.833478,7.00267,6.901099,9.99708,11.114835,6.115286,5.973319,8.183574,5.256152
6.25293374598,10.0342241428,11.3345918828,7.93604255199,9,7.962112,7.105086,10.94497,6.99325,6.977527,9.892425,10.854529,6.119572,6.023154,8.302006,5.251659
5.59046724564,7.73784599941,12.686393985,8.25434798047,10,5.871233,7.086415,10.877899,7.003474,6.982114,9.858026,10.789972,6.160101,6.02757,8.13913,5.295684
6.71582123755,10.9773685087,10.741531869,7.55609754751,11,5.08533,7.205207,10.856603,7.025091,7.016711,9.768097,10.866948,6.157611,6.06297,8.131189,5.423756
7.73931712989,10.0762300371,9.72979126883,6.81299727164,12,6.733221,7.070766,10.909969,6.994146,6.967165,9.989368,11.325794,6.17577,6.120957,8.329426,5.368737
6.27083761394,10.1945577438,11.162911791,6.84726113891,13,5.075739,7.143647,10.901567,7.061548,6.956041,10.24762,10.976019,6.206095,6.031121,8.360277,5.521322
7.56728211399,9.97849764422,11.0169761715,6.97583489893,14,5.261997,7.142587,10.835354,7.023561,6.925427,10.083822,10.29147,6.22165,6.042164,8.304131,5.587106
6.58392405102,11.2287966178,11.0087753797,6.43297868506,15,5.286271,7.175606,10.83346,7.031327,6.994754,9.811576,11.099765,6.214252,6.068784,8.708639,5.309341
6.56107672422,11.3568328129,9.93505074908,7.35849864028,16,5.039376,7.238144,10.745747,7.028351,7.045609,10.063796,11.369933,6.235681,6.119846,8.532814,5.364631
6.47595604554,11.0340649573,11.5846237778,6.80000241593,17,4.771912,7.197305,10.845296,6.953597,7.112602,10.023811,10.775673,6.263644,6.019625,8.552699,5.578331
5.77316314196,9.11058255894,11.5997184841,8.25190249842,18,5.839891,7.176533,10.80649,7.036173,6.993103,10.032595,10.816821,6.269064,6.09769,8.369241,5.657811
6.611662532,9.18134683394,11.8307384609,7.70845000095,19,5.718778,7.226896,10.820887,7.055028,6.977812,10.057532,10.819219,6.280445,5.967246,8.492083,5.633888
6.43001800056,8.4433679671,11.8908127807,7.97991027112,20,7.396582,7.215639,10.767937,7.004255,6.988788,10.056961,11.548338,6.300929,5.968121,8.547043,5.606458
8.11718868297,9.52325899051,9.25025511259,7.51213186393,21,5.304698,7.199694,10.716531,6.973422,7.039151,10.11168,11.211606,6.315329,5.946889,8.793104,5.977652
6.92094492467,11.0907892628,10.2416894191,6.89537721506,22,7.259943,7.244246,10.754288,6.989824,7.039479,9.887288,10.596808,6.338209,6.077749,8.858635,5.701923
7.82225860315,9.87112253731,8.71157553217,7.05977802357,23,5.758741,7.22312,10.864943,6.984479,6.933334,9.932212,11.595652,6.337849,5.859123,8.70336,5.761705
6.61482305132,10.9429526561,10.2771681444,6.57723014462,24,6.935671,7.33421,10.785519,7.02212,6.979736,10.032256,10.911767,6.372345,5.999113,8.728617,5.744196
6.51948162597,10.7341283272,10.3136207893,6.94754680226,25,3.798033,7.202604,10.712236,7.078457,7.108861,10.122012,11.91073,6.397352,5.942161,8.704498,5.784146
6.13571308015,9.11324928496,10.9132201845,7.23917233077,26,7.888619,7.27247,10.778268,7.012602,6.929023,9.870534,11.167843,6.386551,6.021931,8.69963,6.030855
6.51884331218,10.8125915679,9.93199174629,7.17605287428,27,7.058906,7.297494,10.703602,6.998492,6.898852,10.045138,10.80109,6.402509,5.976484,8.849778,5.987698
6.23335701394,11.1681716629,10.408929864,7.24347861477,28,6.518079,7.291369,10.605869,7.009053,7.101821,9.946421,10.628184,6.418434,6.141043,8.818491,5.805127
6.45508735775,11.0944884672,11.2486371077,6.30637061169,29,7.559051,7.318057,10.666529,6.977852,7.030261,9.928573,10.930958,6.435654,5.970234,8.67695,5.768984
5.66747970419,10.4318030556,9.39896349178,7.14574365057,30,7.525387,7.291002,10.68751,6.959229,6.993336,10.085939,11.002371,6.446022,6.114814,8.807422,6.026271
7.61901233205,10.4125125675,11.1890387376,8.23882954293,31,5.812842,7.381991,10.650067,6.988417,6.991985,10.082632,11.431802,6.476033,6.119118,8.899666,5.666276
5.77144938782,10.5381168717,10.9931533951,7.08164965758,32,6.51895,7.332725,10.647614,7.078823,6.855312,10.207712,11.489665,6.488241,6.093316,8.854229,5.913385
6.9400679785,11.2196389846,10.9042477501,7.3937645337,33,5.446154,7.349219,10.642549,7.105624,6.970655,9.900656,10.758055,6.513403,6.136043,8.959733,6.347397
7.72613126616,10.8596313369,9.53727020717,7.22970863472,34,6.908606,7.434994,10.652467,7.005794,7.06673,9.883551,10.73968,6.496148,6.176673,8.891277,6.116013
6.17484511882,10.8332351325,11.6284977547,7.3694185668,35,7.200667,7.320829,10.644399,6.973276,7.048046,10.147026,10.562511,6.513448,6.510499,8.991579,6.064291
6.29809233833,10.0621526637,11.0188324175,7.31772038511,36,6.925735,7.38328,10.727019,7.008941,7.001673,9.998984,11.112868,6.527582,5.712466,9.004063,6.041374
6.02449966961,9.99228962567,11.0600437399,7.11975788611,37,6.829055,7.379212,10.635241,7.002464,7.026033,9.925471,11.486119,6.546,6.438557,8.900972,6.132259
6.41708680887,10.34587731,11.5645840708,6.46005777446,38,6.635516,7.429549,10.594598,7.067273,6.987527,9.955487,10.686613,6.579244,6.149216,8.898201,6.246896
7.92789269377,10.2178183793,8.94069789105,7.43376879345,39,6.01976,7.437469,10.529391,6.922626,7.074958,9.950242,10.745879,6.573149,5.980951,8.920582,5.947856
6.7563958835,10.7943297087,11.4084422686,6.91012367867,40,6.83436,7.296928,10.640329,7.016909,7.074628,10.162166,11.248195,6.594758,5.949288,8.966566,6.229819
6.92717964636,10.4762196331,12.5044043335,6.81927615914,41,6.801064,7.432817,10.588216,6.9983,6.989841,10.029483,11.687001,6.634955,6.253479,8.947057,6.282293
7.23263033726,9.50112384425,10.1425328522,7.85708153425,42,7.477864,7.475424,10.534898,7.052144,7.067259,10.055755,11.65217,6.632058,6.236681,9.067624,6.048193
7.39302966828,10.2362884646,9.49253956158,7.60396172273,43,7.13975,7.435318,10.460837,6.975455,7.045874,9.937031,11.076843,6.647561,5.758336,9.078279,6.545665
7.0376434021,9.38210554293,10.2707805203,7.4905555949,44,6.897845,7.465501,10.433917,6.914789,6.926439,10.043707,11.366249,6.666874,5.795599,9.022327,6.600697
6.91236216585,10.5070138586,10.9146360684,6.15224087774,45,6.017618,7.50731,10.530282,6.967859,7.007808,10.045818,10.94626,6.670096,6.139043,9.126611,6.427918
5.56286688361,10.3293169186,11.7374971908,6.05817724558,46,7.729696,7.505783,10.424019,7.045884,6.99867,9.837595,10.552698,6.689641,6.006611,8.939587,6.582175
6.80233693611,11.3104820591,10.4159052023,6.61772588234,47,7.324801,7.50259,10.445785,6.940336,6.927572,10.099238,11.322608,6.705219,6.036579,9.251994,6.41131
6.47509861246,10.5032407878,11.408236249,6.83683036085,48,6.57937,7.480038,10.51522,6.992645,7.089664,10.010834,11.502039,6.718199,6.291719,9.089215,6.605653
6.81746281686,9.74905034142,11.2804408328,7.49542051336,49,9.236184,7.657319,10.501431,6.988754,7.022758,10.040469,11.193594,6.731601,6.152829,9.219438,6.344865
6.43640545527,10.8635163702,9.84717886859,7.27654055561,50,7.597265,7.594603,10.424685,6.90922,6.956642,9.913699,11.783368,6.736962,6.20221,9.108488,6.496292
6.33834149518,10.8901115427,11.680662373,7.11708553676,51,6.016928,7.629773,10.437535,6.993558,7.00567,9.952761,10.339509,6.746186,5.723603,8.993347,6.806039
6.39677203748,10.6954468643,11.1413524943,6.47368009836,52,5.556422,7.56586,10.35963,6.938414,6.961643,10.141798,11.347372,6.762029,6.256022,8.877994,6.700795
6.3065000475,10.3038044725,11.2744503997,6.51628928463,53,8.071486,7.612645,10.382619,7.00904,6.993978,10.038985,11.240155,6.79934,6.391122,9.118827,6.866966
7.80208407131,10.1950490952,9.43761436052,7.18684104662,54,5.190333,7.640254,10.433299,7.092403,6.983392,9.868098,11.126538,6.802835,6.560787,8.876916,6.7777
6.72063791461,10.3051292037,10.6553863453,6.45938285712,55,6.618157,7.633252,10.43809,6.952095,6.990813,9.933959,11.187575,6.806054,6.004279,8.955938,6.658133
7.01074117271,9.69107255764,10.2438793016,7.55209884095,56,7.159915,7.582176,10.260017,7.058129,7.06791,9.836873,11.403034,6.81252,6.37062,9.157411,6.797626
6.95965628101,10.8048440577,10.5902090937,6.89573257041,57,6.191558,7.570256,10.36623,7.027038,7.006363,10.111583,10.967236,6.832076,6.405889,9.171709,6.919117
5.88182485576,7.35270385347,11.7856302121,7.40429336337,58,7.14938,7.682639,10.311411,7.034325,6.949256,10.097882,11.328793,6.846648,6.248126,8.954558,7.088766
6.50094531536,11.0207813577,11.5183088281,6.76373229536,59,5.784077,7.64892,10.473806,7.013844,6.984181,10.021705,10.794639,6.866712,6.604415,9.040472,6.974793
7.06644916488,9.14864311754,10.1254980793,6.97028568828,60,8.134707,7.684004,10.283389,6.999761,6.925869,9.937084,10.917769,6.87519,6.387824,8.919361,7.201643
6.53463922725,10.5500930053,11.4325297553,6.22445753972,61,4.77857,7.667274,10.312355,6.991954,6.948674,10.142884,10.603792,6.872008,6.162128,9.085173,7.113288
6.2936573739,10.3956103645,10.7951587748,6.31976517325,62,5.584034,7.68849,10.282927,7.028534,6.898313,10.036752,11.146938,6.883664,5.733325,8.971707,6.91447
6.75510778073,10.9148988346,11.2545447646,7.25687890479,63,5.686645,7.72941,10.344589,6.995627,7.057147,10.133713,10.743298,6.896762,6.756849,8.874965,7.216652
6.67103694438,10.1920800062,10.4802147733,6.69026585102,64,4.590314,7.751066,10.204287,6.936071,7.078069,10.096743,11.190239,6.921017,6.307335,8.831709,7.270104
7.68877810286,10.3825933611,9.11786929443,7.2982269269,65,8.1586,7.650441,10.353729,6.939908,6.919601,9.924678,11.230024,6.93048,6.121726,8.853927,7.274029
5.22054161125,7.7584499926,12.9049935559,7.43108313944,66,7.229624,7.75273,10.25895,7.063124,6.888483,9.953757,11.241986,6.937268,6.190296,8.970231,7.34646
6.74495210898,10.1060416349,11.2238297739,7.34578965415,67,7.19061,7.716136,10.332316,6.949829,6.984056,10.033363,10.874415,6.953771,6.184683,8.872376,7.404533
6.42485581483,10.5689347691,11.4210685456,7.50243868608,68,7.087425,7.750565,10.19986,6.983838,6.973535,10.044519,10.48615,6.978042,6.303004,8.866299,7.111372
6.27908476959,10.1153985209,11.3113003047,6.45427665745,69,6.861693,7.681808,10.177866,7.034706,7.000455,9.927975,10.761809,6.985877,6.143798,8.638312,7.082929
6.45355152837,6.89619560481,12.1203581321,8.76060421654,70,5.938371,7.700663,10.2308,7.048501,7.044395,10.039529,10.555881,6.992522,6.410585,8.883186,7.077629
6.38622496759,10.4580654034,11.0774536829,6.35144430587,71,6.512976,7.675843,10.169605,7.080774,7.023997,10.019604,10.990371,7.023028,6.508496,8.837794,7.313482
5.8232611269,8.62621836701,11.3550237576,7.13772950934,72,7.698216,7.813091,10.193986,7.023233,7.023872,9.916156,11.320064,7.018249,6.170581,8.906803,7.26586
5.51639016661,7.71606629108,12.0489803179,7.68625424187,73,8.08939,7.765209,10.102537,6.966607,6.969701,9.845526,11.260708,7.01764,6.359835,8.907489,7.346357
6.44061683541,10.7368032635,11.7918897376,6.71928804794,74,6.116485,7.749295,10.197641,6.970615,6.94538,9.930114,11.545522,7.046818,6.237173,8.793003,7.640099
6.86748604028,11.1271300299,10.6447586732,6.61656976065,75,7.149143,7.823737,10.149452,6.961383,6.940856,10.015906,11.438578,7.054172,5.773604,8.914275,7.464539
5.47373780037,8.8177024456,11.6948351918,7.41902661523,76,7.564958,7.915152,10.175934,7.015894,6.984215,9.952647,10.275729,7.055314,6.721144,8.608354,7.523579
6.28061899155,10.5163859954,10.0766194647,7.02120201527,77,7.581565,7.828594,10.135723,7.093858,6.965577,9.994829,11.37058,7.081363,5.853493,8.727149,7.773627
7.6156867956,10.0886234244,8.78958650787,7.39374430533,78,5.978008,7.898696,10.101682,7.058769,7.077696,10.024779,11.090804,7.076193,6.146172,8.713391,7.428009
6.54842706481,10.6828410255,10.320261699,7.75308702368,79,7.338043,7.889889,10.11011,7.043875,7.015377,10.015988,11.435382,7.087184,6.298154,8.451307,7.295313
